
[2021-06-09 09:58:10.934] 4831	507	275.755	96.289	19.563	31.217	31.217	40.250	9.033	574.6	653.5	95.0
[2021-06-09 09:58:12.939] 4831	507	276.034	96.385	19.563	31.206	31.206	40.240	9.034	574.6	653.6	95.1
[2021-06-09 09:58:14.937] 4831	507	276.039	96.376	19.557	31.208	31.208	40.243	9.035	574.6	653.5	95.3
[2021-06-09 09:58:16.926] 4831	507	276.069	96.384	19.556	31.207	31.207	40.243	9.035	574.5	653.5	95.3
[2021-06-09 09:58:18.931] 4831	507	276.185	96.424	19.555	31.203	31.203	40.239	9.036	574.6	653.5	95.3
[2021-06-09 09:58:20.935] 4831	507	276.102	96.398	19.557	31.205	31.205	40.241	9.036	574.5	653.5	95.2
[2021-06-09 09:58:22.939] 4831	507	276.172	96.422	19.557	31.202	31.202	40.238	9.036	574.4	653.5	95.2
[2021-06-09 09:58:24.944] 4831	507	276.102	96.393	19.554	31.206	31.206	40.239	9.033	574.5	653.5	95.3
[2021-06-09 09:58:26.933] 4831	507	276.072	96.386	19.556	31.207	31.207	40.241	9.034	574.4	653.5	95.3
[2021-06-09 09:58:28.937] 4831	507	276.194	96.420	19.552	31.204	31.204	40.238	9.034	574.4	653.4	95.4
[2021-06-09 09:58:30.926] 4831	507	276.220	96.425	19.550	31.203	31.203	40.238	9.035	574.4	653.4	95.5
[2021-06-09 09:58:32.931] 4831	507	276.205	96.420	19.550	31.204	31.204	40.238	9.034	574.3	653.3	95.5
[2021-06-09 09:58:34.935] 4831	507	276.299	96.450	19.549	31.201	31.201	40.236	9.035	574.3	653.4	95.5
[2021-06-09 09:58:36.924] 4831	507	276.395	96.483	19.548	31.197	31.197	40.232	9.035	574.3	653.3	95.5
[2021-06-09 09:58:38.929] 4831	507	276.412	96.500	19.554	31.194	31.194	40.230	9.036	574.2	653.3	95.3
[2021-06-09 09:58:40.918] 4831	507	276.311	96.466	19.555	31.198	31.198	40.232	9.034	574.2	653.3	95.3
[2021-06-09 09:58:42.923] 4831	507	276.421	96.506	19.555	31.193	31.193	40.228	9.035	574.1	653.3	95.3
[2021-06-09 09:58:44.928] 4831	507	276.359	96.485	19.556	31.195	31.195	40.231	9.036	574.1	653.3	95.3
[2021-06-09 09:58:46.932] 4831	507	276.368	96.489	19.556	31.195	31.195	40.229	9.035	574.1	653.3	95.3
[2021-06-09 09:58:48.937] 4831	507	276.446	96.517	19.557	31.191	31.191	40.226	9.035	574.0	653.3	95.3
[2021-06-09 09:58:50.941] 4831	507	276.432	96.509	19.555	31.192	31.192	40.229	9.036	574.0	653.2	95.3
[2021-06-09 09:58:52.930] 4831	507	276.430	96.513	19.557	31.192	31.192	40.227	9.035	574.0	653.2	95.2
[2021-06-09 09:58:54.935] 4831	507	276.439	96.520	19.559	31.190	31.190	40.226	9.036	574.0	653.3	95.2
[2021-06-09 09:58:56.933] 4831	507	276.484	96.545	19.564	31.186	31.186	40.222	9.036	573.9	653.2	95.0
[2021-06-09 09:58:58.922] 4831	507	276.549	96.564	19.562	31.184	31.184	40.221	9.036	574.0	653.3	95.1
[2021-06-09 09:59:00.926] 4831	507	276.573	96.559	19.555	31.187	31.187	40.222	9.036	574.0	653.2	95.3
[2021-06-09 09:59:02.931] 4831	507	276.460	96.514	19.553	31.192	31.192	40.226	9.033	574.0	653.2	95.4
[2021-06-09 09:59:04.920] 4831	507	276.544	96.549	19.555	31.188	31.188	40.223	9.035	573.9	653.2	95.3
[2021-06-09 09:59:06.924] 4831	507	276.444	96.523	19.560	31.190	31.190	40.225	9.036	573.9	653.2	95.1
[2021-06-09 09:59:08.913] 4831	507	276.526	96.549	19.559	31.187	31.187	40.223	9.036	573.9	653.2	95.2
[2021-06-09 09:59:10.933] 4831	507	276.571	96.559	19.556	31.186	31.186	40.220	9.034	573.8	653.2	95.3
[2021-06-09 09:59:12.938] 4831	507	276.660	96.590	19.556	31.183	31.183	40.218	9.035	573.8	653.2	95.3
[2021-06-09 09:59:14.927] 4831	507	276.658	96.589	19.555	31.183	31.183	40.219	9.036	573.8	653.2	95.3
[2021-06-09 09:59:16.931] 4831	507	276.644	96.589	19.558	31.182	31.182	40.218	9.036	573.8	653.2	95.2
[2021-06-09 09:59:18.920] 4831	507	276.571	96.561	19.557	31.186	31.186	40.220	9.034	573.8	653.2	95.3
[2021-06-09 09:59:20.925] 4831	507	276.710	96.599	19.552	31.182	31.182	40.218	9.036	573.8	653.2	95.4
[2021-06-09 09:59:22.929] 4831	507	276.633	96.577	19.554	31.185	31.185	40.220	9.036	573.8	653.2	95.4
[2021-06-09 09:59:24.918] 4831	507	276.783	96.630	19.554	31.178	31.178	40.213	9.035	573.7	653.2	95.3
